<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.19	00:00:00	1.11756	1.11819	1.11620	1.11690	462	0	12
2025.05.19	01:00:00	1.11705	1.11935	1.11696	1.11896	2191	0	8
2025.05.19	02:00:00	1.11897	1.11935	1.11812	1.11883	2097	0	8
2025.05.19	03:00:00	1.11883	1.11981	1.11795	1.11967	3922	0	8
2025.05.19	04:00:00	1.11967	1.11985	1.11726	1.11756	3601	0	8
2025.05.19	05:00:00	1.11756	1.11877	1.11718	1.11817	2993	0	8
2025.05.19	06:00:00	1.11816	1.11849	1.11782	1.11807	2461	0	8
2025.05.19	07:00:00	1.11805	1.11867	1.11768	1.11833	1985	0	8
2025.05.19	08:00:00	1.11832	1.11877	1.11757	1.11844	2383	0	8
2025.05.19	09:00:00	1.11843	1.12118	1.11814	1.12087	4261	0	8
2025.05.19	10:00:00	1.12088	1.12445	1.12051	1.12378	5250	0	8
2025.05.19	11:00:00	1.12381	1.12586	1.12353	1.12567	4621	0	8
2025.05.19	12:00:00	1.12570	1.12799	1.12545	1.12793	4683	0	8
2025.05.19	13:00:00	1.12796	1.12876	1.12681	1.12779	4081	0	8
2025.05.19	14:00:00	1.12778	1.12795	1.12614	1.12725	3729	0	8
2025.05.19	15:00:00	1.12725	1.12729	1.12563	1.12564	3912	0	8
2025.05.19	16:00:00	1.12564	1.12646	1.12467	1.12508	5472	0	8
2025.05.19	17:00:00	1.12510	1.12572	1.12410	1.12531	4658	0	8
2025.05.19	18:00:00	1.12531	1.12593	1.12330	1.12356	3703	0	8
2025.05.19	19:00:00	1.12356	1.12392	1.12290	1.12347	2977	0	8
2025.05.19	20:00:00	1.12347	1.12381	1.12236	1.12297	2158	0	8
2025.05.19	21:00:00	1.12296	1.12362	1.12241	1.12344	1861	0	8
2025.05.19	22:00:00	1.12344	1.12414	1.12325	1.12396	1270	0	8
2025.05.19	23:00:00	1.12394	1.12442	1.12329	1.12330	1386	0	8
2025.05.20	00:00:00	1.12342	1.12429	1.12328	1.12422	504	0	28
2025.05.20	01:00:00	1.12422	1.12433	1.12345	1.12347	916	0	8
2025.05.20	02:00:00	1.12348	1.12357	1.12309	1.12318	927	0	9
2025.05.20	03:00:00	1.12318	1.12319	1.12176	1.12273	2412	0	8
2025.05.20	04:00:00	1.12278	1.12508	1.12278	1.12378	3328	0	8
2025.05.20	05:00:00	1.12379	1.12457	1.12256	1.12315	2246	0	8
2025.05.20	06:00:00	1.12314	1.12470	1.12288	1.12445	2620	0	8
2025.05.20	07:00:00	1.12443	1.12500	1.12400	1.12417	2261	0	8
2025.05.20	08:00:00	1.12417	1.12579	1.12413	1.12540	3744	0	8
2025.05.20	09:00:00	1.12541	1.12617	1.12502	1.12570	4163	0	8
2025.05.20	10:00:00	1.12567	1.12773	1.12528	1.12759	4545	0	8
2025.05.20	11:00:00	1.12757	1.12758	1.12468	1.12578	3836	0	8
2025.05.20	12:00:00	1.12578	1.12665	1.12494	1.12547	3272	0	8
2025.05.20	13:00:00	1.12547	1.12573	1.12426	1.12440	3017	0	8
2025.05.20	14:00:00	1.12441	1.12512	1.12434	1.12454	2618	0	0
2025.05.20	15:00:00	1.12452	1.12467	1.12231	1.12338	3856	0	8
2025.05.20	16:00:00	1.12337	1.12489	1.12243	1.12453	4923	0	8
2025.05.20	17:00:00	1.12453	1.12687	1.12451	1.12680	5373	0	8
2025.05.20	18:00:00	1.12681	1.12693	1.12491	1.12526	3214	0	8
2025.05.20	19:00:00	1.12524	1.12576	1.12447	1.12562	2574	0	8
2025.05.20	20:00:00	1.12561	1.12771	1.12543	1.12733	2198	0	8
2025.05.20	21:00:00	1.12733	1.12798	1.12707	1.12719	2542	0	8
2025.05.20	22:00:00	1.12719	1.12822	1.12714	1.12799	1797	0	8
2025.05.20	23:00:00	1.12804	1.12854	1.12778	1.12813	1053	0	0
2025.05.21	00:00:00	1.12811	1.12837	1.12774	1.12813	647	0	8
2025.05.21	01:00:00	1.12816	1.12859	1.12797	1.12805	1485	0	8
2025.05.21	02:00:00	1.12807	1.12895	1.12800	1.12877	1209	0	8
2025.05.21	03:00:00	1.12878	1.13007	1.12871	1.12948	2663	0	8
2025.05.21	04:00:00	1.12948	1.13022	1.12862	1.12980	2829	0	8
